,time_of_experiment,scanner_status,advertiser_status,RSSI,distance
0,2020-07-17 19:39:53.619884,3,3,-86,8
0,2020-07-17 19:39:54.214828,3,3,-85,8
0,2020-07-17 19:39:56.219957,3,3,-73,8
0,2020-07-17 19:39:58.224891,3,3,-83,8
0,2020-07-17 19:40:00.229948,3,3,-84,8
0,2020-07-17 19:40:02.235007,3,3,-68,8
0,2020-07-17 19:40:04.240100,3,3,-74,8
0,2020-07-17 19:40:06.245040,3,3,-74,8
0,2020-07-17 19:40:08.138690,3,3,-73,8
0,2020-07-17 19:40:10.143832,3,3,-74,8
0,2020-07-17 19:40:11.932480,3,3,-67,8
0,2020-07-17 19:40:12.007521,3,3,-67,8
0,2020-07-17 19:40:14.012508,3,3,-67,8
0,2020-07-17 19:40:16.017535,3,3,-67,8
0,2020-07-17 19:40:18.022703,3,3,-81,8
0,2020-07-17 19:40:20.027796,3,3,-73,8
0,2020-07-17 19:40:22.032654,3,3,-67,8
0,2020-07-17 19:40:24.037791,3,3,-81,8
0,2020-07-17 19:40:26.042737,3,3,-73,8
0,2020-07-17 19:40:28.047844,3,3,-75,8
0,2020-07-17 19:40:30.055990,3,3,-84,8
0,2020-07-17 19:40:32.061632,3,3,-73,8
0,2020-07-17 19:40:34.066546,3,3,-68,8
0,2020-07-17 19:40:36.071728,3,3,-72,8
0,2020-07-17 19:40:38.076542,3,3,-67,8
0,2020-07-17 19:40:39.576703,3,3,-73,8
0,2020-07-17 19:40:41.584320,3,3,-67,8
0,2020-07-17 19:40:42.855498,3,3,-73,8
0,2020-07-17 19:40:44.860365,3,3,-73,8
0,2020-07-17 19:40:45.080315,3,3,-73,8
0,2020-07-17 19:40:47.085464,3,3,-89,8
0,2020-07-17 19:40:49.090544,3,3,-67,8
0,2020-07-17 19:40:51.095613,3,3,-67,8
0,2020-07-17 19:40:53.103821,3,3,-89,8
0,2020-07-17 19:40:55.109716,3,3,-74,8
0,2020-07-17 19:40:57.115649,3,3,-89,8
0,2020-07-17 19:40:59.120716,3,3,-73,8
0,2020-07-17 19:41:00.979322,3,3,-67,8
0,2020-07-17 19:41:01.030490,3,3,-73,8
0,2020-07-17 19:09:17.640234,3,3,-63,4
0,2020-07-17 19:09:18.086737,3,3,-63,4
0,2020-07-17 19:09:20.092117,3,3,-60,4
0,2020-07-17 19:09:21.878342,3,3,-65,4
0,2020-07-17 19:09:23.882621,3,3,-62,4
0,2020-07-17 19:09:24.099464,3,3,-63,4
0,2020-07-17 19:09:25.869456,3,3,-65,4
0,2020-07-17 19:09:27.874545,3,3,-63,4
0,2020-07-17 19:09:29.879489,3,3,-63,4
0,2020-07-17 19:09:30.587019,3,3,-64,4
0,2020-07-17 19:09:32.591975,3,3,-63,4
0,2020-07-17 19:09:33.852592,3,3,-63,4
0,2020-07-17 19:09:35.858267,3,3,-64,4
0,2020-07-17 19:09:38.053159,3,3,-64,4
0,2020-07-17 19:09:40.058239,3,3,-63,4
0,2020-07-17 19:09:42.062630,3,3,-65,4
0,2020-07-17 19:09:44.068217,3,3,-65,4
0,2020-07-17 19:09:45.813184,3,3,-66,4
0,2020-07-17 19:09:46.020659,3,3,-65,4
0,2020-07-17 19:09:48.025694,3,3,-66,4
0,2020-07-17 19:09:50.030812,3,3,-66,4
0,2020-07-17 19:09:52.035710,3,3,-65,4
0,2020-07-17 19:09:54.039474,3,3,-61,4
0,2020-07-17 19:09:56.044530,3,3,-66,4
0,2020-07-17 19:09:58.023166,3,3,-65,4
0,2020-07-17 19:10:00.028228,3,3,-65,4
0,2020-07-17 19:10:02.033253,3,3,-61,4
0,2020-07-17 19:10:04.038257,3,3,-65,4
0,2020-07-17 19:10:06.043224,3,3,-66,4
0,2020-07-17 19:10:08.048211,3,3,-65,4
0,2020-07-17 19:10:10.053281,3,3,-61,4
0,2020-07-17 19:10:12.058220,3,3,-61,4
0,2020-07-17 19:10:14.063215,3,3,-65,4
0,2020-07-17 19:10:16.068279,3,3,-65,4
0,2020-07-17 19:10:18.073221,3,3,-62,4
0,2020-07-17 19:10:20.078264,3,3,-61,4
0,2020-07-17 19:10:22.083253,3,3,-66,4
0,2020-07-17 19:10:24.088288,3,3,-61,4
0,2020-07-17 19:10:25.574528,3,3,-65,4
0,2020-07-17 19:10:27.579496,3,3,-65,4
0,2020-07-17 19:10:29.584572,3,3,-62,4
0,2020-07-17 19:10:30.379533,3,3,-62,4
0,2020-07-17 19:10:32.384508,3,3,-66,4
0,2020-07-17 19:10:34.389593,3,3,-66,4
0,2020-07-17 19:10:36.394617,3,3,-61,4
0,2020-07-17 19:10:38.399538,3,3,-65,4
0,2020-07-17 19:10:40.404683,3,3,-61,4
0,2020-07-17 19:10:42.040857,3,3,-65,4
0,2020-07-17 19:10:43.489540,3,3,-61,4
0,2020-07-17 19:10:45.494564,3,3,-65,4
0,2020-07-17 19:10:47.499561,3,3,-65,4
0,2020-07-17 19:10:49.504620,3,3,-65,4
0,2020-07-17 19:10:51.509590,3,3,-61,4
0,2020-07-17 19:10:53.514580,3,3,-65,4
0,2020-07-17 19:10:55.519708,3,3,-62,4
0,2020-07-17 19:10:57.524616,3,3,-61,4
0,2020-07-17 19:10:59.529619,3,3,-63,4
0,2020-07-17 19:11:01.534743,3,3,-65,4
0,2020-07-17 19:11:03.539669,3,3,-65,4
0,2020-07-17 19:11:05.544647,3,3,-61,4
0,2020-07-17 19:11:07.549719,3,3,-66,4
